Date,PRCP,SNOW,099AX,099IN,99EAN,HDD1,CDD1
5/18/1981,0.92,0,53,39,46,19,0
5/19/1981,0,0,67,46,56.5,8,0
5/20/1981,0,0,72,42,57,8,0
5/21/1981,0,0,77,55,66,0,1
5/22/1981,0,0,78,52,65,0,0
5/23/1981,0.1,0,78,62,70,0,5
5/24/1981,0.06,0,77,62,69.5,0,5
5/25/1981,0,0,79,53,66,0,1
5/26/1981,0,0,72,60,66,0,1
5/27/1981,0,0,77,56,66.5,0,2
5/28/1981,0,0,81,52,66.5,0,2
5/29/1981,0.07,0,85,64,74.5,0,10
5/30/1981,0,0,71,52,61.5,3,0
5/31/1981,0,0,77,49,63,2,0
6/1/1981,0.14,0,72,56,64,1,0
6/2/1981,0,0,81,65,73,0,8
6/3/1981,0.06,0,82,67,74.5,0,10
6/4/1981,0,0,86,66,76,0,11
6/5/1981,0.01,0,86,70,78,0,13
6/6/1981,0,0,85,63,74,0,9
6/7/1981,0,0,87,60,73.5,0,9
6/8/1981,0.17,0,92,66,79,0,14
6/9/1981,0.03,0,87,62,74.5,0,10
6/10/1981,0,0,81,61,71,0,6
6/11/1981,0.02,0,77,62,69.5,0,5
6/12/1981,0.51,0,81,65,73,0,8
6/13/1981,0.59,0,82,71,76.5,0,12
6/14/1981,0,0,88,73,80.5,0,16
6/15/1981,0.79,0,88,66,77,0,12
6/16/1981,0.02,0,71,56,63.5,1,0
6/17/1981,0,0,79,53,66,0,1
6/18/1981,0,0,84,57,70.5,0,6
6/19/1981,0,0,74,61,67.5,0,3
6/20/1981,0,0,85,61,73,0,8
6/21/1981,1.98,0,77,65,71,0,6
6/22/1981,0,0,79,65,72,0,7
6/23/1981,0,0,82,60,71,0,6
6/24/1981,0.4,0,89,64,76.5,0,12
6/25/1981,0,0,81,66,73.5,0,9
6/26/1981,0,0,81,62,71.5,0,7
6/27/1981,0,0,84,58,71,0,6
6/28/1981,0,0,86,66,76,0,11
6/29/1981,0,0,92,67,79.5,0,15
6/30/1981,0,0,82,68,75,0,10
7/1/1981,0,0,82,65,73.5,0,9
7/2/1981,0,0,83,66,74.5,0,10
7/3/1981,0,0,85,63,74,0,9
7/4/1981,1.42,0,74,66,70,0,5
7/5/1981,0.2,0,79,67,73,0,8
7/6/1981,0,0,87,64,75.5,0,11
7/7/1981,0,0,90,71,80.5,0,16
7/8/1981,0,0,89,73,81,0,16
7/9/1981,0.02,0,91,72,81.5,0,17
7/10/1981,0,0,85,67,76,0,11
7/11/1981,0,0,90,64,77,0,12
7/12/1981,0,0,93,68,80.5,0,16
7/13/1981,0.16,0,95,76,85.5,0,21
7/14/1981,0,0,86,67,76.5,0,12
7/15/1981,0.71,0,83,67,75,0,10
7/16/1981,0,0,74,65,69.5,0,5
7/17/1981,0,0,86,65,75.5,0,11
7/18/1981,0.15,0,88,71,79.5,0,15
7/19/1981,1.8,0,83,70,76.5,0,12
7/20/1981,0,0,88,69,78.5,0,14
7/21/1981,0,0,75,61,68,0,3
7/22/1981,0,0,76,58,67,0,2
7/23/1981,0,0,76,59,67.5,0,3
7/24/1981,0,0,82,63,72.5,0,8
7/25/1981,0.75,0,85,67,76,0,11
7/26/1981,0.49,0,76,65,70.5,0,6
7/27/1981,0.85,0,78,58,68,0,3
7/28/1981,0.26,0,73,56,64.5,0,0
7/29/1981,0,0,73,53,63,2,0
7/30/1981,0,0,77,53,65,0,0
7/31/1981,0,0,80,57,68.5,0,4
8/1/1981,0,0,83,59,71,0,6
8/2/1981,0.16,0,85,63,74,0,9
8/3/1981,0.02,0,82,67,74.5,0,10
8/4/1981,0,0,88,68,78,0,13
8/5/1981,1.63,0,81,69,75,0,10
8/6/1981,0,0,83,68,75.5,0,11
8/7/1981,0,0,80,66,73,0,8
8/8/1981,0,0,77,61,69,0,4
8/9/1981,1.93,0,81,61,71,0,6
8/10/1981,0,0,75,63,69,0,4
8/11/1981,0,0,78,58,68,0,3
8/12/1981,0,0,79,62,70.5,0,6
8/13/1981,0,0,83,64,73.5,0,9
8/14/1981,1.06,0,79,67,73,0,8
8/15/1981,0.78,0,81,64,72.5,0,8
8/16/1981,0,0,74,60,67,0,2
8/17/1981,0,0,73,54,63.5,1,0
8/18/1981,0,0,74,51,62.5,2,0
8/19/1981,0,0,78,53,65.5,0,1
8/20/1981,0,0,80,54,67,0,2
8/21/1981,0,0,80,59,69.5,0,5
8/22/1981,0,0,82,61,71.5,0,7
8/23/1981,0,0,82,59,70.5,0,6
8/24/1981,0,0,86,64,75,0,10
8/25/1981,0.01,0,86,69,77.5,0,13
8/26/1981,0.59,0,81,65,73,0,8
8/27/1981,1.88,0,80,64,72,0,7
8/28/1981,0,0,80,67,73.5,0,9
8/29/1981,0.48,0,81,65,73,0,8
8/30/1981,0.09,0,84,68,76,0,11
